open_time,close,volume
2024-12-27 00:00:00,95495.93000000,279.16929000
2024-12-27 00:05:00,95620.47000000,124.21807000
2024-12-27 00:10:00,96020.49000000,238.09310000
2024-12-27 00:15:00,96087.93000000,138.72953000
2024-12-27 00:20:00,96100.26000000,74.19874000
2024-12-27 00:25:00,96080.13000000,90.51343000
2024-12-27 00:30:00,96376.81000000,94.46257000
2024-12-27 00:35:00,96190.08000000,105.25349000
2024-12-27 00:40:00,96053.95000000,69.32389000
2024-12-27 00:45:00,95820.00000000,109.23363000
2024-12-27 00:50:00,95858.57000000,50.80529000
2024-12-27 00:55:00,95724.02000000,45.07705000
2024-12-27 01:00:00,96283.89000000,120.92424000
2024-12-27 01:05:00,97146.07000000,953.92741000
2024-12-27 01:10:00,97298.54000000,188.72155000
2024-12-27 01:15:00,96957.84000000,126.12482000
2024-12-27 01:20:00,97079.92000000,358.39553000
2024-12-27 01:25:00,96868.74000000,148.33755000
2024-12-27 01:30:00,96809.71000000,146.61783000
2024-12-27 01:35:00,97004.53000000,94.60821000
2024-12-27 01:40:00,96892.00000000,67.96476000
2024-12-27 01:45:00,96883.36000000,43.69702000
2024-12-27 01:50:00,96788.52000000,46.62477000
2024-12-27 01:55:00,96774.13000000,49.49121000
2024-12-27 02:00:00,96847.99000000,61.97777000
2024-12-27 02:05:00,96893.72000000,37.58252000
2024-12-27 02:10:00,96744.29000000,31.59322000
2024-12-27 02:15:00,96847.09000000,84.41447000
2024-12-27 02:20:00,96598.14000000,45.15777000
2024-12-27 02:25:00,96585.34000000,83.07640000
2024-12-27 02:30:00,96286.09000000,93.76642000
2024-12-27 02:35:00,96330.48000000,81.28419000
2024-12-27 02:40:00,96433.89000000,54.71275000
2024-12-27 02:45:00,96370.99000000,74.53362000
2024-12-27 02:50:00,96490.10000000,39.32983000
2024-12-27 02:55:00,96605.46000000,44.64679000
2024-12-27 03:00:00,96566.36000000,54.47599000
2024-12-27 03:05:00,96566.02000000,24.59669000
2024-12-27 03:10:00,96597.79000000,40.11250000
2024-12-27 03:15:00,96496.68000000,20.01576000
2024-12-27 03:20:00,96528.63000000,32.88312000
2024-12-27 03:25:00,96561.43000000,14.46054000
2024-12-27 03:30:00,96491.40000000,31.82505000
2024-12-27 03:35:00,96529.43000000,26.99148000
2024-12-27 03:40:00,96626.50000000,55.38764000
2024-12-27 03:45:00,96757.16000000,45.46651000
2024-12-27 03:50:00,96792.09000000,56.50486000
2024-12-27 03:55:00,96952.38000000,64.19970000
2024-12-27 04:00:00,96863.55000000,111.65255000
2024-12-27 04:05:00,96928.00000000,56.30546000
2024-12-27 04:10:00,96869.63000000,66.84902000
2024-12-27 04:15:00,96721.70000000,75.88468000
2024-12-27 04:20:00,96829.84000000,35.30932000
2024-12-27 04:25:00,96733.46000000,21.40396000
2024-12-27 04:30:00,96810.72000000,57.57398000
2024-12-27 04:35:00,96770.23000000,30.25636000
2024-12-27 04:40:00,96669.69000000,44.27577000
2024-12-27 04:45:00,96638.21000000,29.29318000
2024-12-27 04:50:00,96645.58000000,29.49463000
2024-12-27 04:55:00,96686.75000000,58.68872000
2024-12-27 05:00:00,96633.72000000,40.49653000
2024-12-27 05:05:00,96406.77000000,45.73487000
2024-12-27 05:10:00,96380.19000000,140.61853000
2024-12-27 05:15:00,96368.00000000,168.47886000
2024-12-27 05:20:00,96526.38000000,70.53506000
2024-12-27 05:25:00,96423.20000000,81.99206000
2024-12-27 05:30:00,96492.74000000,41.39496000
2024-12-27 05:35:00,96499.99000000,39.88549000
2024-12-27 05:40:00,96470.46000000,46.99090000
2024-12-27 05:45:00,96556.83000000,48.44676000
2024-12-27 05:50:00,96434.89000000,36.59110000
2024-12-27 05:55:00,96407.99000000,30.72418000
2024-12-27 06:00:00,96260.00000000,65.88142000
2024-12-27 06:05:00,96308.09000000,101.11145000
2024-12-27 06:10:00,96127.32000000,49.64563000
2024-12-27 06:15:00,96342.06000000,61.83051000
2024-12-27 06:20:00,96396.31000000,44.89907000
2024-12-27 06:25:00,96348.00000000,32.19287000
2024-12-27 06:30:00,95898.63000000,166.85791000
2024-12-27 06:35:00,95568.13000000,305.77308000
2024-12-27 06:40:00,95380.85000000,170.11494000
2024-12-27 06:45:00,95223.19000000,252.88593000
2024-12-27 06:50:00,95554.20000000,135.27418000
2024-12-27 06:55:00,95691.99000000,130.27726000
2024-12-27 07:00:00,95309.52000000,170.38471000
2024-12-27 07:05:00,95620.07000000,156.26761000
2024-12-27 07:10:00,95324.00000000,109.11892000
2024-12-27 07:15:00,94650.40000000,571.95132000
2024-12-27 07:20:00,94743.99000000,295.45349000
